,FI
geo_level_3_id,14698
area_percentage,7438
age,6423
height_percentage,4177
count_floors_pre_eq,1250
count_families,1158
has_superstructure_timber,1035
other_floor_type_q,903
has_superstructure_mud_mortar_stone,785
roof_type_n,742
position_s,655
geo_level_1_id_17,596
other_floor_type_x,595
ground_floor_type_f,571
has_secondary_use,545
land_surface_condition_t,543
position_t,530
roof_type_q,523
land_surface_condition_n,516
ground_floor_type_x,497
geo_level_1_id_26,492
has_superstructure_adobe_mud,491
has_superstructure_cement_mortar_brick,488
foundation_type_r,469
has_superstructure_bamboo,463
geo_level_1_id_6,459
has_superstructure_mud_mortar_brick,426
position_j,404
geo_level_1_id_10,395
geo_level_1_id_7,391
has_superstructure_rc_non_engineered,380
has_secondary_use_agriculture,377
geo_level_1_id_21,370
geo_level_1_id_8,370
ground_floor_type_v,354
geo_level_1_id_20,349
geo_level_1_id_4,341
geo_level_1_id_27,312
has_superstructure_cement_mortar_stone,311
has_superstructure_stone_flag,309
has_secondary_use_hotel,302
geo_level_1_id_22,302
foundation_type_u,302
geo_level_1_id_13,300
geo_level_1_id_25,293
plan_configuration_d,281
foundation_type_w,275
geo_level_1_id_5,261
roof_type_x,249
geo_level_1_id_11,247
land_surface_condition_o,242
other_floor_type_s,230
geo_level_1_id_0,223
geo_level_1_id_30,223
has_superstructure_other,212
legal_ownership_status_v,211
plan_configuration_u,208
plan_configuration_q,207
foundation_type_i,200
geo_level_1_id_9,191
geo_level_1_id_18,188
geo_level_1_id_1,183
geo_level_1_id_3,183
has_superstructure_rc_engineered,176
other_floor_type_j,176
geo_level_1_id_16,175
legal_ownership_status_a,168
geo_level_2_id_158,157
geo_level_1_id_12,152
geo_level_2_id_673,145
geo_level_1_id_24,138
geo_level_2_id_39,137
has_secondary_use_rental,135
geo_level_2_id_157,133
geo_level_2_id_889,126
geo_level_1_id_14,126
geo_level_1_id_15,121
position_o,120
geo_level_2_id_1253,117
geo_level_2_id_1394,116
geo_level_2_id_886,114
has_secondary_use_other,112
geo_level_2_id_1006,110
foundation_type_h,107
geo_level_2_id_463,107
geo_level_2_id_1132,106
geo_level_2_id_310,104
legal_ownership_status_w,104
geo_level_2_id_181,100
geo_level_2_id_533,100
geo_level_2_id_1023,96
ground_floor_type_z,95
geo_level_2_id_883,95
geo_level_2_id_488,94
legal_ownership_status_r,94
geo_level_2_id_445,92
geo_level_2_id_1050,92
geo_level_2_id_1055,92
geo_level_2_id_151,90
geo_level_2_id_641,90
geo_level_2_id_1155,89
geo_level_2_id_845,88
geo_level_2_id_70,87
geo_level_1_id_2,87
geo_level_2_id_363,86
geo_level_2_id_936,86
