,FI
geo_level_3_id,17433
geo_level_2_id,16570
geo_level_1_id,8538
area_percentage,8222
age,7254
height_percentage,4979
count_floors_pre_eq,1440
count_families,1337
has_superstructure_timber,1167
other_floor_type_q,922
roof_type_n,843
has_superstructure_mud_mortar_stone,820
position_s,722
other_floor_type_x,696
ground_floor_type_f,672
land_surface_condition_t,663
roof_type_q,638
position_t,635
has_secondary_use,620
has_superstructure_bamboo,611
land_surface_condition_n,600
has_superstructure_cement_mortar_brick,584
has_superstructure_adobe_mud,583
ground_floor_type_x,547
foundation_type_r,489
has_superstructure_mud_mortar_brick,487
has_superstructure_rc_non_engineered,446
foundation_type_u,417
has_secondary_use_agriculture,410
has_superstructure_stone_flag,410
position_j,388
ground_floor_type_v,375
has_secondary_use_hotel,351
foundation_type_w,335
plan_configuration_d,319
land_surface_condition_o,318
has_superstructure_cement_mortar_stone,294
other_floor_type_j,271
legal_ownership_status_v,271
roof_type_x,268
other_floor_type_s,266
foundation_type_i,245
has_superstructure_rc_engineered,240
plan_configuration_q,236
has_superstructure_other,232
plan_configuration_u,209
legal_ownership_status_a,208
has_secondary_use_rental,150
position_o,149
legal_ownership_status_w,138
has_secondary_use_other,129
foundation_type_h,115
ground_floor_type_z,86
legal_ownership_status_r,80
ground_floor_type_m,51
plan_configuration_a,51
plan_configuration_s,42
has_secondary_use_institution,34
plan_configuration_c,32
has_secondary_use_industry,24
plan_configuration_o,15
has_secondary_use_school,3
plan_configuration_f,0
plan_configuration_m,0
plan_configuration_n,0
has_secondary_use_health_post,0
has_secondary_use_gov_office,0
has_secondary_use_use_police,0
